NCBI Accession,Shortcut,Genus
KT368833.1,MERS-CoV,Betacoronavirus
KT368832.1,MERS-CoV,Betacoronavirus
KT368831.1,MERS-CoV,Betacoronavirus
KT368830.1,MERS-CoV,Betacoronavirus
KT368828.1,MERS-CoV,Betacoronavirus
KT368827.1,MERS-CoV,Betacoronavirus
KT368826.1,MERS-CoV,Betacoronavirus
KT368825.1,MERS-CoV,Betacoronavirus
KT368824.1,MERS-CoV,Betacoronavirus
KT751244.1,MERS-CoV,Betacoronavirus
KT121581.1,MERS-CoV,Betacoronavirus
KT121580.1,MERS-CoV,Betacoronavirus
KT121579.1,MERS-CoV,Betacoronavirus
KT121577.1,MERS-CoV,Betacoronavirus
KT121576.1,MERS-CoV,Betacoronavirus
KT121575.1,MERS-CoV,Betacoronavirus
KT121574.1,MERS-CoV,Betacoronavirus
KM027262.1,MERS-CoV,Betacoronavirus
KM027261.1,MERS-CoV,Betacoronavirus
KM027260.1,MERS-CoV,Betacoronavirus
KM027259.1,MERS-CoV,Betacoronavirus
KM027258.1,MERS-CoV,Betacoronavirus
KM027257.1,MERS-CoV,Betacoronavirus
KM027256.1,MERS-CoV,Betacoronavirus
KM027255.1,MERS-CoV,Betacoronavirus
KT029139.1,MERS-CoV,Betacoronavirus
KT006149.2,MERS-CoV,Betacoronavirus
KT156561.1,MERS-CoV,Betacoronavirus
KT156560.1,MERS-CoV,Betacoronavirus
KR011266.1,MERS-CoV,Betacoronavirus
KJ361503.1,MERS-CoV,Betacoronavirus
KP719933.1,MERS-CoV,Betacoronavirus
KP719932.1,MERS-CoV,Betacoronavirus
KP719931.1,MERS-CoV,Betacoronavirus
KP719930.1,MERS-CoV,Betacoronavirus
KP719928.1,MERS-CoV,Betacoronavirus
KP719927.1,MERS-CoV,Betacoronavirus
KP223131.1,MERS-CoV,Betacoronavirus
KJ650098.1,MERS-CoV,Betacoronavirus
KJ650297.1,MERS-CoV,Betacoronavirus
KJ650296.1,MERS-CoV,Betacoronavirus
KJ650295.1,MERS-CoV,Betacoronavirus
KF600652.1,MERS-CoV,Betacoronavirus
KF600651.1,MERS-CoV,Betacoronavirus
KF600647.1,MERS-CoV,Betacoronavirus
KF600634.1,MERS-CoV,Betacoronavirus
KF600632.1,MERS-CoV,Betacoronavirus
KF600630.1,MERS-CoV,Betacoronavirus
KF600628.1,MERS-CoV,Betacoronavirus
KF600627.1,MERS-CoV,Betacoronavirus
KF600612.1,MERS-CoV,Betacoronavirus
KF192507.1,MERS-CoV,Betacoronavirus
KF186565.1,MERS-CoV,Betacoronavirus
KF186567.1,MERS-CoV,Betacoronavirus
KF186564.1,MERS-CoV,Betacoronavirus
KM015348.1,MERS-CoV,Betacoronavirus
KF958702.1,MERS-CoV,Betacoronavirus
KJ556336.1,MERS-CoV,Betacoronavirus
KJ477102.1,MERS-CoV,Betacoronavirus
KJ829365.1,MERS-CoV,Betacoronavirus
KJ713299.1,MERS-CoV,Betacoronavirus
KJ713298.1,MERS-CoV,Betacoronavirus
KJ713297.1,MERS-CoV,Betacoronavirus
KJ713296.1,MERS-CoV,Betacoronavirus
KJ713295.1,MERS-CoV,Betacoronavirus
KJ156952.1,MERS-CoV,Betacoronavirus
KJ156949.1,MERS-CoV,Betacoronavirus
KJ156944.1,MERS-CoV,Betacoronavirus
KJ156881.1,MERS-CoV,Betacoronavirus
KJ156866.1,MERS-CoV,Betacoronavirus
KF961222.1,MERS-CoV,Betacoronavirus
KF745068.1,MERS-CoV,Betacoronavirus
NC_038294.1,MERS-CoV,Betacoronavirus
KJ473821.1,MERS-CoV,Betacoronavirus
KJ614529.1,MERS-CoV,Betacoronavirus
KC667074.1,MERS-CoV,Betacoronavirus
KP887098.1,Murine-CoV,Betacoronavirus
KF268339.1,Murine-CoV,Betacoronavirus
KF268338.1,Murine-CoV,Betacoronavirus
KF268337.1,Murine-CoV,Betacoronavirus
KF268336.1,Murine-CoV,Betacoronavirus
FJ647220.1,Murine-CoV,Betacoronavirus
FJ647226.1,Murine-CoV,Betacoronavirus
FJ647222.1,Murine-CoV,Betacoronavirus
FJ647221.1,Murine-CoV,Betacoronavirus
FJ647218.1,Murine-CoV,Betacoronavirus
MW620427.1,Murine-CoV,Betacoronavirus
FJ647224.1,Murine-CoV,Betacoronavirus
FJ647223.1,Murine-CoV,Betacoronavirus
FJ647219.1,Murine-CoV,Betacoronavirus
NC_001846.1,Murine-CoV,Betacoronavirus
GU593319.1,Murine-CoV,Betacoronavirus
NC_012936.1,Murine-CoV,Betacoronavirus
AC_000192.1,Murine-CoV,Betacoronavirus
NC_048217.1,Murine-CoV,Betacoronavirus
MF618252.1,Murine-CoV,Betacoronavirus
FJ884687.1,Murine-CoV,Betacoronavirus
FJ884686.1,Murine-CoV,Betacoronavirus
AF208067.1,Murine-CoV,Betacoronavirus
AF208066.1,Murine-CoV,Betacoronavirus
AF201929.1,Murine-CoV,Betacoronavirus
JQ173883.1,Murine-CoV,Betacoronavirus
AB551247.1,Murine-CoV,Betacoronavirus
BS001516.1,SARS-CoV-2,Betacoronavirus
OV104708.1,SARS-CoV-2,Betacoronavirus
OL615137.1,SARS-CoV-2,Betacoronavirus
OL538440.1,SARS-CoV-2,Betacoronavirus
OL461283.1,SARS-CoV-2,Betacoronavirus
OK585122.1,SARS-CoV-2,Betacoronavirus
OK511245.1,SARS-CoV-2,Betacoronavirus
OK511334.1,SARS-CoV-2,Betacoronavirus
OK241647.1,SARS-CoV-2,Betacoronavirus
OK246571.1,SARS-CoV-2,Betacoronavirus
OK246849.1,SARS-CoV-2,Betacoronavirus
OK191816.1,SARS-CoV-2,Betacoronavirus
OK193144.1,SARS-CoV-2,Betacoronavirus
MZ861610.1,SARS-CoV-2,Betacoronavirus
MZ780883.1,SARS-CoV-2,Betacoronavirus
MZ705807.1,SARS-CoV-2,Betacoronavirus
MZ664953.1,SARS-CoV-2,Betacoronavirus
MZ579169.1,SARS-CoV-2,Betacoronavirus
MZ566055.1,SARS-CoV-2,Betacoronavirus
MZ535920.1,SARS-CoV-2,Betacoronavirus
MZ476109.1,SARS-CoV-2,Betacoronavirus
MZ454838.1,SARS-CoV-2,Betacoronavirus
MZ455073.1,SARS-CoV-2,Betacoronavirus
MZ415815.1,SARS-CoV-2,Betacoronavirus
MZ405595.1,SARS-CoV-2,Betacoronavirus
MZ390018.1,SARS-CoV-2,Betacoronavirus
OL805515.1,SARS-CoV-2,Betacoronavirus
OL809484.1,SARS-CoV-2,Betacoronavirus
OL785890.1,SARS-CoV-2,Betacoronavirus
OL752980.1,SARS-CoV-2,Betacoronavirus
OL725838.1,SARS-CoV-2,Betacoronavirus
OL970271.1,SARS-CoV-2,Betacoronavirus
OL939279.1,SARS-CoV-2,Betacoronavirus
ON487326.1,SARS-CoV-2,Betacoronavirus
OM106202.1,SARS-CoV-2,Betacoronavirus
ON764533.1,SARS-CoV-2,Betacoronavirus
OL751749.1,SARS-CoV-2,Betacoronavirus
ON764471.1,SARS-CoV-2,Betacoronavirus
OK405802.1,SARS-CoV-2,Betacoronavirus
MZ531227.1,SARS-CoV-2,Betacoronavirus
OM729320.1,SARS-CoV-2,Betacoronavirus
OL532096.1,SARS-CoV-2,Betacoronavirus
OK025124.1,SARS-CoV-2,Betacoronavirus
MZ536489.1,SARS-CoV-2,Betacoronavirus
MZ415432.1,SARS-CoV-2,Betacoronavirus
MZ033047.1,SARS-CoV-2,Betacoronavirus
MZ305372.1,SARS-CoV-2,Betacoronavirus
ON578623.1,SARS-CoV-2,Betacoronavirus
OK297521.1,SARS-CoV-2,Betacoronavirus
MZ579267.1,SARS-CoV-2,Betacoronavirus
MZ354451.1,SARS-CoV-2,Betacoronavirus
MZ284759.1,SARS-CoV-2,Betacoronavirus
ON578013.1,SARS-CoV-2,Betacoronavirus
ON578053.1,SARS-CoV-2,Betacoronavirus
ON579082.1,SARS-CoV-2,Betacoronavirus
ON575746.1,SARS-CoV-2,Betacoronavirus
ON576063.1,SARS-CoV-2,Betacoronavirus
ON576982.1,SARS-CoV-2,Betacoronavirus
ON577187.1,SARS-CoV-2,Betacoronavirus
ON577223.1,SARS-CoV-2,Betacoronavirus
ON577534.1,SARS-CoV-2,Betacoronavirus
ON577797.1,SARS-CoV-2,Betacoronavirus
ON578741.1,SARS-CoV-2,Betacoronavirus
MZ477819.1,SARS-CoV-2,Betacoronavirus
OL522167.1,SARS-CoV-2,Betacoronavirus
OK512250.1,SARS-CoV-2,Betacoronavirus
OK501762.1,SARS-CoV-2,Betacoronavirus
OK109627.1,SARS-CoV-2,Betacoronavirus
MZ727862.1,SARS-CoV-2,Betacoronavirus
MZ702174.1,SARS-CoV-2,Betacoronavirus
MZ702222.1,SARS-CoV-2,Betacoronavirus
MZ706183.1,SARS-CoV-2,Betacoronavirus
MZ536446.1,SARS-CoV-2,Betacoronavirus
MZ500158.1,SARS-CoV-2,Betacoronavirus
MZ493959.1,SARS-CoV-2,Betacoronavirus
MZ433497.1,SARS-CoV-2,Betacoronavirus
MZ388192.1,SARS-CoV-2,Betacoronavirus
MZ371238.1,SARS-CoV-2,Betacoronavirus
MZ342212.1,SARS-CoV-2,Betacoronavirus
MZ315646.1,SARS-CoV-2,Betacoronavirus
ON616809.1,SARS-CoV-2,Betacoronavirus
ON071519.1,SARS-CoV-2,Betacoronavirus
ON003745.1,SARS-CoV-2,Betacoronavirus
ON047442.1,SARS-CoV-2,Betacoronavirus
OM958161.1,SARS-CoV-2,Betacoronavirus
ON201672.1,SARS-CoV-2,Betacoronavirus
ON040144.1,SARS-CoV-2,Betacoronavirus
ON110753.1,SARS-CoV-2,Betacoronavirus
ON052178.1,SARS-CoV-2,Betacoronavirus
OM957617.1,SARS-CoV-2,Betacoronavirus
OM787909.1,SARS-CoV-2,Betacoronavirus
OM699348.1,SARS-CoV-2,Betacoronavirus
OM624028.1,SARS-CoV-2,Betacoronavirus
OM430920.1,SARS-CoV-2,Betacoronavirus
OM343859.1,SARS-CoV-2,Betacoronavirus
BS002856.1,SARS-CoV-2,Betacoronavirus
BS002384.1,SARS-CoV-2,Betacoronavirus
ON583595.1,SARS-CoV-2,Betacoronavirus
ON521636.1,SARS-CoV-2,Betacoronavirus
ON511936.1,SARS-CoV-2,Betacoronavirus
ON454497.1,SARS-CoV-2,Betacoronavirus
ON294016.1,SARS-CoV-2,Betacoronavirus
ON276371.1,SARS-CoV-2,Betacoronavirus
ON255291.1,SARS-CoV-2,Betacoronavirus
ON223176.1,SARS-CoV-2,Betacoronavirus
ON215433.1,SARS-CoV-2,Betacoronavirus
ON151338.1,SARS-CoV-2,Betacoronavirus
ON118874.1,SARS-CoV-2,Betacoronavirus
ON095114.1,SARS-CoV-2,Betacoronavirus
ON096283.1,SARS-CoV-2,Betacoronavirus
ON096289.1,SARS-CoV-2,Betacoronavirus
ON100439.1,SARS-CoV-2,Betacoronavirus
ON083839.1,SARS-CoV-2,Betacoronavirus
ON047727.1,SARS-CoV-2,Betacoronavirus
ON049217.1,SARS-CoV-2,Betacoronavirus
ON051864.1,SARS-CoV-2,Betacoronavirus
ON030241.1,SARS-CoV-2,Betacoronavirus
ON034447.1,SARS-CoV-2,Betacoronavirus
ON035043.1,SARS-CoV-2,Betacoronavirus
OM998861.1,SARS-CoV-2,Betacoronavirus
OM957432.1,SARS-CoV-2,Betacoronavirus
OM931698.1,SARS-CoV-2,Betacoronavirus
OM932856.1,SARS-CoV-2,Betacoronavirus
OM901955.1,SARS-CoV-2,Betacoronavirus
OM904099.1,SARS-CoV-2,Betacoronavirus
OM907296.1,SARS-CoV-2,Betacoronavirus
OM907614.1,SARS-CoV-2,Betacoronavirus
OM871584.1,SARS-CoV-2,Betacoronavirus
OM815666.1,SARS-CoV-2,Betacoronavirus
OM810814.1,SARS-CoV-2,Betacoronavirus
OM787333.1,SARS-CoV-2,Betacoronavirus
OM787706.1,SARS-CoV-2,Betacoronavirus
OM694577.1,SARS-CoV-2,Betacoronavirus
OM679083.1,SARS-CoV-2,Betacoronavirus
OM685426.1,SARS-CoV-2,Betacoronavirus
OM686744.1,SARS-CoV-2,Betacoronavirus
OM661749.1,SARS-CoV-2,Betacoronavirus
OM637248.1,SARS-CoV-2,Betacoronavirus
OM637308.1,SARS-CoV-2,Betacoronavirus
OM483397.1,SARS-CoV-2,Betacoronavirus
OM484241.1,SARS-CoV-2,Betacoronavirus
OM488302.1,SARS-CoV-2,Betacoronavirus
OM464705.1,SARS-CoV-2,Betacoronavirus
OM474815.1,SARS-CoV-2,Betacoronavirus
OM450311.1,SARS-CoV-2,Betacoronavirus
OM450419.1,SARS-CoV-2,Betacoronavirus
OM408944.1,SARS-CoV-2,Betacoronavirus
OM410366.1,SARS-CoV-2,Betacoronavirus
OM412714.1,SARS-CoV-2,Betacoronavirus
OM371821.1,SARS-CoV-2,Betacoronavirus
OM354004.1,SARS-CoV-2,Betacoronavirus
OM357011.1,SARS-CoV-2,Betacoronavirus
OM361819.1,SARS-CoV-2,Betacoronavirus
OM344859.1,SARS-CoV-2,Betacoronavirus
OM235255.1,SARS-CoV-2,Betacoronavirus
OM225127.1,SARS-CoV-2,Betacoronavirus
OM176039.1,SARS-CoV-2,Betacoronavirus
OM121649.1,SARS-CoV-2,Betacoronavirus
OM127152.1,SARS-CoV-2,Betacoronavirus
OM055314.1,SARS-CoV-2,Betacoronavirus
ON123159.1,SARS-CoV-2,Betacoronavirus
OM944568.1,SARS-CoV-2,Betacoronavirus
OM909833.2,SARS-CoV-2,Betacoronavirus
OM786055.1,SARS-CoV-2,Betacoronavirus
OM699182.1,SARS-CoV-2,Betacoronavirus
OM469575.1,SARS-CoV-2,Betacoronavirus
OM356244.1,SARS-CoV-2,Betacoronavirus
OM295432.1,SARS-CoV-2,Betacoronavirus
OM275301.1,SARS-CoV-2,Betacoronavirus
OM258262.1,SARS-CoV-2,Betacoronavirus
OM236038.1,SARS-CoV-2,Betacoronavirus
OM236048.1,SARS-CoV-2,Betacoronavirus
OM134673.1,SARS-CoV-2,Betacoronavirus
OM823261.1,SARS-CoV-2,Betacoronavirus
OM336379.1,SARS-CoV-2,Betacoronavirus
OM121669.1,SARS-CoV-2,Betacoronavirus
OM777885.1,SARS-CoV-2,Betacoronavirus
OM469856.1,SARS-CoV-2,Betacoronavirus
OM361614.1,SARS-CoV-2,Betacoronavirus
OM703772.1,SARS-CoV-2,Betacoronavirus
OM458347.1,SARS-CoV-2,Betacoronavirus
ON266420.1,SARS-CoV-2,Betacoronavirus
OM688506.1,SARS-CoV-2,Betacoronavirus
OM665193.1,SARS-CoV-2,Betacoronavirus
OM457573.1,SARS-CoV-2,Betacoronavirus
OM458662.1,SARS-CoV-2,Betacoronavirus
OM413514.1,SARS-CoV-2,Betacoronavirus
OM421248.1,SARS-CoV-2,Betacoronavirus
OM304698.1,SARS-CoV-2,Betacoronavirus
ON546293.1,SARS-CoV-2,Betacoronavirus
ON852106.1,SARS-CoV-2,Betacoronavirus
ON844851.1,SARS-CoV-2,Betacoronavirus
ON835925.1,SARS-CoV-2,Betacoronavirus
ON802183.1,SARS-CoV-2,Betacoronavirus
ON787392.1,SARS-CoV-2,Betacoronavirus
ON766236.1,SARS-CoV-2,Betacoronavirus
ON769066.1,SARS-CoV-2,Betacoronavirus
ON770681.1,SARS-CoV-2,Betacoronavirus
ON742362.1,SARS-CoV-2,Betacoronavirus
ON735395.1,SARS-CoV-2,Betacoronavirus
ON735451.1,SARS-CoV-2,Betacoronavirus
ON680054.1,SARS-CoV-2,Betacoronavirus
ON683410.1,SARS-CoV-2,Betacoronavirus
ON686274.1,SARS-CoV-2,Betacoronavirus
ON689713.1,SARS-CoV-2,Betacoronavirus
ON690573.1,SARS-CoV-2,Betacoronavirus
ON691236.1,SARS-CoV-2,Betacoronavirus
ON654613.1,SARS-CoV-2,Betacoronavirus
ON654695.1,SARS-CoV-2,Betacoronavirus
ON658467.1,SARS-CoV-2,Betacoronavirus
ON665747.1,SARS-CoV-2,Betacoronavirus
ON648212.1,SARS-CoV-2,Betacoronavirus
ON632352.1,SARS-CoV-2,Betacoronavirus
ON632610.1,SARS-CoV-2,Betacoronavirus
ON633559.1,SARS-CoV-2,Betacoronavirus
ON634361.1,SARS-CoV-2,Betacoronavirus
ON625367.1,SARS-CoV-2,Betacoronavirus
ON607157.1,SARS-CoV-2,Betacoronavirus
ON611264.1,SARS-CoV-2,Betacoronavirus
ON574482.1,SARS-CoV-2,Betacoronavirus
ON589822.1,SARS-CoV-2,Betacoronavirus
ON591911.1,SARS-CoV-2,Betacoronavirus
ON570916.1,SARS-CoV-2,Betacoronavirus
ON542136.1,SARS-CoV-2,Betacoronavirus
ON530748.1,SARS-CoV-2,Betacoronavirus
ON519573.1,SARS-CoV-2,Betacoronavirus
ON503823.1,SARS-CoV-2,Betacoronavirus
ON481266.1,SARS-CoV-2,Betacoronavirus
ON464882.1,SARS-CoV-2,Betacoronavirus
ON467153.1,SARS-CoV-2,Betacoronavirus
ON449515.1,SARS-CoV-2,Betacoronavirus
ON451752.1,SARS-CoV-2,Betacoronavirus
ON395964.1,SARS-CoV-2,Betacoronavirus
ON363360.1,SARS-CoV-2,Betacoronavirus
ON295812.1,SARS-CoV-2,Betacoronavirus
ON253429.1,SARS-CoV-2,Betacoronavirus
ON253685.1,SARS-CoV-2,Betacoronavirus
ON250772.1,SARS-CoV-2,Betacoronavirus
ON690992.1,SARS-CoV-2,Betacoronavirus
ON617651.1,SARS-CoV-2,Betacoronavirus
ON766806.1,SARS-CoV-2,Betacoronavirus
ON761208.1,SARS-CoV-2,Betacoronavirus
ON701176.1,SARS-CoV-2,Betacoronavirus
ON498592.1,SARS-CoV-2,Betacoronavirus
ON384143.1,SARS-CoV-2,Betacoronavirus
ON363858.1,SARS-CoV-2,Betacoronavirus
ON363937.1,SARS-CoV-2,Betacoronavirus
ON333066.1,SARS-CoV-2,Betacoronavirus
ON333067.1,SARS-CoV-2,Betacoronavirus
ON254352.1,SARS-CoV-2,Betacoronavirus
ON210446.1,SARS-CoV-2,Betacoronavirus
ON589574.1,SARS-CoV-2,Betacoronavirus
ON632753.1,SARS-CoV-2,Betacoronavirus
ON522045.1,SARS-CoV-2,Betacoronavirus
ON851405.1,SARS-CoV-2,Betacoronavirus
ON742444.1,SARS-CoV-2,Betacoronavirus
ON710113.1,SARS-CoV-2,Betacoronavirus
ON570200.1,SARS-CoV-2,Betacoronavirus
ON422577.1,SARS-CoV-2,Betacoronavirus
ON321625.1,SARS-CoV-2,Betacoronavirus
ON828726.1,SARS-CoV-2,Betacoronavirus
ON697595.1,SARS-CoV-2,Betacoronavirus
ON700237.1,SARS-CoV-2,Betacoronavirus
ON659001.1,SARS-CoV-2,Betacoronavirus
ON659511.1,SARS-CoV-2,Betacoronavirus
ON632304.1,SARS-CoV-2,Betacoronavirus
ON632980.1,SARS-CoV-2,Betacoronavirus
ON624856.1,SARS-CoV-2,Betacoronavirus
ON609361.1,SARS-CoV-2,Betacoronavirus
ON549739.1,SARS-CoV-2,Betacoronavirus
ON535433.1,SARS-CoV-2,Betacoronavirus
ON521353.1,SARS-CoV-2,Betacoronavirus
ON523668.1,SARS-CoV-2,Betacoronavirus
ON523879.1,SARS-CoV-2,Betacoronavirus
ON500146.1,SARS-CoV-2,Betacoronavirus
ON480861.1,SARS-CoV-2,Betacoronavirus
ON481511.1,SARS-CoV-2,Betacoronavirus
ON489455.1,SARS-CoV-2,Betacoronavirus
ON489633.1,SARS-CoV-2,Betacoronavirus
ON489777.1,SARS-CoV-2,Betacoronavirus
ON418056.1,SARS-CoV-2,Betacoronavirus
ON418473.1,SARS-CoV-2,Betacoronavirus
ON394992.1,SARS-CoV-2,Betacoronavirus
ON399716.1,SARS-CoV-2,Betacoronavirus
ON392775.1,SARS-CoV-2,Betacoronavirus
ON362987.1,SARS-CoV-2,Betacoronavirus
ON345277.1,SARS-CoV-2,Betacoronavirus
ON347246.1,SARS-CoV-2,Betacoronavirus
ON349484.1,SARS-CoV-2,Betacoronavirus
ON334823.1,SARS-CoV-2,Betacoronavirus
ON334844.1,SARS-CoV-2,Betacoronavirus
ON307576.1,SARS-CoV-2,Betacoronavirus
ON308198.1,SARS-CoV-2,Betacoronavirus
ON293265.1,SARS-CoV-2,Betacoronavirus
ON235141.1,SARS-CoV-2,Betacoronavirus
ON235247.1,SARS-CoV-2,Betacoronavirus
ON197751.1,SARS-CoV-2,Betacoronavirus
ON145418.1,SARS-CoV-2,Betacoronavirus
ON066768.1,SARS-CoV-2,Betacoronavirus
OM949480.1,SARS-CoV-2,Betacoronavirus
OP825181.1,SARS-CoV-2,Betacoronavirus
OP777155.1,SARS-CoV-2,Betacoronavirus
OP625368.1,SARS-CoV-2,Betacoronavirus
OP546614.1,SARS-CoV-2,Betacoronavirus
OP506055.1,SARS-CoV-2,Betacoronavirus
OP430000.1,SARS-CoV-2,Betacoronavirus
OP384379.1,SARS-CoV-2,Betacoronavirus
OP360207.1,SARS-CoV-2,Betacoronavirus
OP331357.1,SARS-CoV-2,Betacoronavirus
OP306591.1,SARS-CoV-2,Betacoronavirus
OP283334.1,SARS-CoV-2,Betacoronavirus
OP251446.1,SARS-CoV-2,Betacoronavirus
OP238480.1,SARS-CoV-2,Betacoronavirus
OP239838.1,SARS-CoV-2,Betacoronavirus
OP218300.1,SARS-CoV-2,Betacoronavirus
OP195715.1,SARS-CoV-2,Betacoronavirus
OP181688.1,SARS-CoV-2,Betacoronavirus
OP182078.1,SARS-CoV-2,Betacoronavirus
OP147047.1,SARS-CoV-2,Betacoronavirus
OP155996.1,SARS-CoV-2,Betacoronavirus
OP139521.1,SARS-CoV-2,Betacoronavirus
OP140308.1,SARS-CoV-2,Betacoronavirus
OP127782.1,SARS-CoV-2,Betacoronavirus
OP112144.1,SARS-CoV-2,Betacoronavirus
OP078246.1,SARS-CoV-2,Betacoronavirus
OP082891.1,SARS-CoV-2,Betacoronavirus
OP083076.1,SARS-CoV-2,Betacoronavirus
OP054719.1,SARS-CoV-2,Betacoronavirus
OP048781.1,SARS-CoV-2,Betacoronavirus
OP047132.1,SARS-CoV-2,Betacoronavirus
OP034858.1,SARS-CoV-2,Betacoronavirus
OP013400.1,SARS-CoV-2,Betacoronavirus
OP007651.1,SARS-CoV-2,Betacoronavirus
OP001612.1,SARS-CoV-2,Betacoronavirus
ON945742.1,SARS-CoV-2,Betacoronavirus
ON915534.1,SARS-CoV-2,Betacoronavirus
ON918129.1,SARS-CoV-2,Betacoronavirus
ON899573.1,SARS-CoV-2,Betacoronavirus
ON874163.1,SARS-CoV-2,Betacoronavirus
ON823271.1,SARS-CoV-2,Betacoronavirus
ON780104.1,SARS-CoV-2,Betacoronavirus
ON769908.1,SARS-CoV-2,Betacoronavirus
ON772575.1,SARS-CoV-2,Betacoronavirus
OP369768.1,SARS-CoV-2,Betacoronavirus
OP319580.1,SARS-CoV-2,Betacoronavirus
OP239475.1,SARS-CoV-2,Betacoronavirus
OP010354.1,SARS-CoV-2,Betacoronavirus
ON957967.1,SARS-CoV-2,Betacoronavirus
OP550877.1,SARS-CoV-2,Betacoronavirus
OP165399.1,SARS-CoV-2,Betacoronavirus
ON978706.1,SARS-CoV-2,Betacoronavirus
ON933746.1,SARS-CoV-2,Betacoronavirus
OP815111.1,SARS-CoV-2,Betacoronavirus
OP789670.1,SARS-CoV-2,Betacoronavirus
OP790273.1,SARS-CoV-2,Betacoronavirus
OP790968.1,SARS-CoV-2,Betacoronavirus
OP782894.1,SARS-CoV-2,Betacoronavirus
OP772206.1,SARS-CoV-2,Betacoronavirus
OP742657.1,SARS-CoV-2,Betacoronavirus
OP735725.1,SARS-CoV-2,Betacoronavirus
OP732038.1,SARS-CoV-2,Betacoronavirus
OP660031.1,SARS-CoV-2,Betacoronavirus
OP661979.1,SARS-CoV-2,Betacoronavirus
OP671554.1,SARS-CoV-2,Betacoronavirus
OP652296.1,SARS-CoV-2,Betacoronavirus
OP656705.1,SARS-CoV-2,Betacoronavirus
OP625291.1,SARS-CoV-2,Betacoronavirus
OP609352.1,SARS-CoV-2,Betacoronavirus
OP571532.1,SARS-CoV-2,Betacoronavirus
OP505068.1,SARS-CoV-2,Betacoronavirus
OP488271.1,SARS-CoV-2,Betacoronavirus
OP488762.1,SARS-CoV-2,Betacoronavirus
OP488807.1,SARS-CoV-2,Betacoronavirus
OP489229.1,SARS-CoV-2,Betacoronavirus
OP465789.1,SARS-CoV-2,Betacoronavirus
OP449219.1,SARS-CoV-2,Betacoronavirus
OP450087.1,SARS-CoV-2,Betacoronavirus
OP436282.1,SARS-CoV-2,Betacoronavirus
OP430684.1,SARS-CoV-2,Betacoronavirus
OP424855.1,SARS-CoV-2,Betacoronavirus
OP399153.1,SARS-CoV-2,Betacoronavirus
OP407241.1,SARS-CoV-2,Betacoronavirus
OP388161.1,SARS-CoV-2,Betacoronavirus
OP366795.1,SARS-CoV-2,Betacoronavirus
OP368330.1,SARS-CoV-2,Betacoronavirus
OP368822.1,SARS-CoV-2,Betacoronavirus
OP369003.1,SARS-CoV-2,Betacoronavirus
OP372887.1,SARS-CoV-2,Betacoronavirus
OP342593.1,SARS-CoV-2,Betacoronavirus
OP303650.1,SARS-CoV-2,Betacoronavirus
OP257884.1,SARS-CoV-2,Betacoronavirus
OP195593.1,SARS-CoV-2,Betacoronavirus
OP144837.1,SARS-CoV-2,Betacoronavirus
OP123265.1,SARS-CoV-2,Betacoronavirus
OP125993.1,SARS-CoV-2,Betacoronavirus
OP110441.1,SARS-CoV-2,Betacoronavirus
OP110897.1,SARS-CoV-2,Betacoronavirus
OP078621.1,SARS-CoV-2,Betacoronavirus
OP060126.1,SARS-CoV-2,Betacoronavirus
ON942623.1,SARS-CoV-2,Betacoronavirus
OP781077.1,SARS-CoV-2,Betacoronavirus
OP545685.1,SARS-CoV-2,Betacoronavirus
OP488567.1,SARS-CoV-2,Betacoronavirus
OP338725.1,SARS-CoV-2,Betacoronavirus
OP228575.1,SARS-CoV-2,Betacoronavirus
OP148809.1,SARS-CoV-2,Betacoronavirus
OP022713.1,SARS-CoV-2,Betacoronavirus
OP014488.1,SARS-CoV-2,Betacoronavirus
OP772379.1,SARS-CoV-2,Betacoronavirus
OP707361.1,SARS-CoV-2,Betacoronavirus
OP662371.1,SARS-CoV-2,Betacoronavirus
OP658077.1,SARS-CoV-2,Betacoronavirus
OP624265.1,SARS-CoV-2,Betacoronavirus
OP607522.1,SARS-CoV-2,Betacoronavirus
OP582596.1,SARS-CoV-2,Betacoronavirus
OP504701.1,SARS-CoV-2,Betacoronavirus
OP462780.1,SARS-CoV-2,Betacoronavirus
OP438904.1,SARS-CoV-2,Betacoronavirus
OP412174.1,SARS-CoV-2,Betacoronavirus
OP388166.1,SARS-CoV-2,Betacoronavirus
OP356601.1,SARS-CoV-2,Betacoronavirus
OP320671.1,SARS-CoV-2,Betacoronavirus
OP191979.1,SARS-CoV-2,Betacoronavirus
OP170232.1,SARS-CoV-2,Betacoronavirus
OP165372.1,SARS-CoV-2,Betacoronavirus
OP102906.1,SARS-CoV-2,Betacoronavirus
OP082640.1,SARS-CoV-2,Betacoronavirus
OP026147.1,SARS-CoV-2,Betacoronavirus
OP007640.1,SARS-CoV-2,Betacoronavirus
ON945638.1,SARS-CoV-2,Betacoronavirus
ON867822.1,SARS-CoV-2,Betacoronavirus
OP780096.1,SARS-CoV-2,Betacoronavirus
OP736883.1,SARS-CoV-2,Betacoronavirus
OP657140.1,SARS-CoV-2,Betacoronavirus
OP625737.1,SARS-CoV-2,Betacoronavirus
OP625828.1,SARS-CoV-2,Betacoronavirus
OP568376.1,SARS-CoV-2,Betacoronavirus
OP542791.1,SARS-CoV-2,Betacoronavirus
OP465906.1,SARS-CoV-2,Betacoronavirus
OP449502.1,SARS-CoV-2,Betacoronavirus
